"whichweights","mtry","min.node.size","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"unif",4,2,0.616179799045263,0.179832710327183,0.536074665425892,0.279781134054147,0.195414931134429,0.302731387477249
"unif",4,3,0.605452499192037,0.157233560351825,0.522683925820817,0.280624081628209,0.171998737301487,0.301580185381425
"unif",4,4,0.630925880653276,0.12588002174577,0.549870443693545,0.288233401377137,0.172332629751934,0.317934333174579
"unif",4,5,0.615695759214679,0.131927158724143,0.537575103835076,0.303529427008818,0.161177601642456,0.319698962514083
"unif",4,6,0.585421275463637,0.165869290368492,0.505408658791177,0.273113731274552,0.170735485226808,0.293552274084881
"unif",5,2,0.587863774494887,0.191738924095965,0.50842756164477,0.289486973979343,0.181365640535268,0.307717800615303
"unif",5,3,0.595443275504563,0.138565054960551,0.511087244862229,0.28595072469753,0.166962647595511,0.306651245786156
"unif",5,4,0.604962589633861,0.147509210825096,0.525975537636511,0.315985365412495,0.161363375772184,0.338838727567912
"unif",5,5,0.606958711841407,0.124166913562054,0.522733464007288,0.265227326282319,0.173505977000145,0.291186325725583
"unif",5,6,0.601685476337865,0.199279135322785,0.531513128425317,0.300460345347614,0.155058079844212,0.314907009956592
"unif",6,2,0.603529815608776,0.156161022750576,0.531971438861689,0.293460343762873,0.167090584672183,0.315763218022076
"unif",6,3,0.600320556756519,0.157326303675886,0.528570177197531,0.326975519644896,0.154233662880238,0.346784827537196
"unif",6,4,0.596680987146482,0.160684683963997,0.512507098476416,0.311000078869176,0.164298794227969,0.329118501335827
"unif",6,5,0.613078181931767,0.122293784170803,0.530051739902155,0.287535183601673,0.17393181085368,0.307976689311217
"unif",6,6,0.621172452727359,0.147653550197541,0.544630699275377,0.290231728626479,0.14954797083824,0.310328729935998
